id,region,genre,Instrumental,Group,lat,long,description
19,"Madagascar, East Africa",Cushitic Healing Ceremony,Instrumental,Group,-18.766947,46.869106,"A crowded African healing ceremony, thrilling Cushitic cadences of the female lead, responses by a woman's chorus, a male solo and male chorus overlapping in contrapuntal relationshipis, a gun fired off to drive away evil spirits."
20,Central Asia,Tuvan Throat Singing,A Capella,Solo,51.73642,94.03199,"The singer constricts his throat, retracts his tongue producing a low growling noise, while shaping the higher pitched overtone notes, as he would do in playing a jaw's harp. Found as far west as Bashkirs, this style is most frequent among the Mongols, especially the Tuvans, a little-known group of hunters and pastoralists who live in the high country between the Altai and Sayan Mountains."
21,"Turkmenistan, Central Asia",Turkmen Song,Instrumental,Solo,38.969719,59.556278,"Another tense-throated Asian virtuoso uses high register, glissandi, glottal sobs and strong dynamics to enhance a bardic declamatory style, (dutar), and bowed lute (gidchak)"
22,"Bucharest, Romania, Eastern Europe",Doina,Instrumental,Solo,44.426765,26.102537,"The doina belongs to the mediterranean high culture syndrome that includes the raga, the maqam and other ornamented, free-form melodic styles, another evidence of the ancient connections between Southern Romania and thee High Culture of the Mediterranean. The singer, Marie Lateretu, now dead, was in my opinion one of the world's greatest vocal artists"
23,"Liguria, Italy, Europe",Medieval Ballad,A Capella,Group,44.226318,8.7832,On moonlit nights the men gather on the bridge over the little mountain river and sing such medieval ballads as this of the captain's daughter. The polyphonic style is part of a general Ligurian tradition that may link this ancient colony of the Iberians to Georgia in the Cacasus.
24,"South Russia, Eastern Europe",Russian Wedding Song,A Capella,Group,42.846581,47.710108,A wedding dance sung in the open-air style said to have origininated when the original Russian inhabitants came back from the North to re-occupy lands that had been long held by the Tartars.
25,"Northern Territory, Australia",Aboriginal Song,Instrumental,Solo,-16.491411,132.550964,"The songman beats two sticks together and  the digeridoo, player breathes rumbling notes from his hollowed tree branch making music for the evening dance. The man dance before the musicians at the campfire -- the women a little way off in the shadows - abnd from time to time the leading dancer gives a climatic cry."
26,"Tanna Island, New Hebrides, Melanesia",Island Song,Instrumental,Group,-15.376706,166.959152,"A great throng of men, women and children of Yokananon Village ini the Kalbu dance, whicih celebrates the completion of yam planting, wheel round in a great stamping, clapping cluster."
27,"Gomo-Gupe Province, Ethiopia, East Africa",Dorze Yodelling,A Capella,Group,6.99611,40.48356,"Fifty men of the Cushitic-speaking Dorze tribe casually sing in four-part polyphony in the yodelling, interlocked style of the African gatherers"
28,"Ouzazarte, Morocco, North Africa",Gran Houache,Instrumental,Group,31.791702,-7.09262,"A Gran Houache performed in the courtyard of the pasha's palace south of the high Atlas Mountains at the edge of the Sahara. Two rows of women weave a stately giant circle round a cluster of seated male drummers who respond with thrilling calls. The ancient Berber pattern is democratic, egalitarian and complimentary."
29,"Bedouni Region, Ivory Coast, West Africa",Baule,Instrumental,Group,7.539989,-5.54708,"The Baule are famed for their art and music. To my mind, their style is one of those most often heard in West Indian traditional folk music. This is music for initiation, with overlapping choruses, four drums, rattles and a sistra."
30,West Polynesia,Polynesian Dance,A Capella,Group,-17.713371,178.065033,"Puka-puka. In Polynesia well-rehearsed and choreographed troupes of miced dancers perform on feast days and often tour near-by islands. On moonlit nights the young people perform similar dancing songs on the beach. These overlapping choruses which are sung with great energy and cohesion and often in polyphony, are the product of expanding, well-fed unified and cohesive societies."
